Supplier/Vendor,Aged Payables,0-30 days,31-60 days,61-90 days,90
Active Vac Solutions,6435,6435,0,0,0
AP Hire Pty Ltd,1687.5,1687.5,0,0,0
BAR Group P/L,3407.58,3407.58,0,0,0
Bemcove Pty Ltd,139.04,139.04,0,0,0
Bluebeam Software (CUST NEEDS TO BE SETUP),451,451,0,0,0
Bogside Mining Industries,15885.1,15885.1,0,0,0
Building & Industrial Supplies T/A Centenary Power,209,209,0,0,0
Capricorn Society Ltd (Direct Debit),23904.29,23904.29,0,0,0
CERT Centre for Excellence in Rail Training,970.01,970.01,0,0,0
Earthfix Australia Pty Ltd,6488.9,6488.9,0,0,0
Global Sourcing Services,7168.7,0,0,0,7168.7
Hi Quality Waste Treatment Services Pty Ltd,4048,4048,0,0,0
Hydro Excavac Pty Ltd,8877,8877,0,0,0
IOR Pty Ltd,10436.4,10436.4,0,0,0
Iveco Trucks Australia,854.94,854.94,0,0,0
Lion Batteries Holdings Pty Ltd,182.58,182.58,0,0,0
M&K Vidler Property ATF M&K Vidler Family Trust,33320.62,33320.62,0,0,0
Mega Hire Holdings Pty Ltd,6701.86,6701.86,0,0,0
Motion Fluid Power Solutions,1432.66,1432.66,0,0,0
Nugrow Ipswich Pty Ltd,3190,3190,0,0,0
Nuway Landscape Supplies,1081.89,1081.89,0,0,0
Officeworks LTD,594.43,594.43,0,0,0
On Point Utility Locating QLD Pty Ltd,3649.25,3649.25,0,0,0
Onsite Rental Group,2681.75,2681.75,0,0,0
Pine Mountain Road Pty Ltd,8683.95,8683.95,0,0,0
Pinkenba Operations Pty Ltd,7524.1,7524.1,0,0,0
Pirtek (Wacol) Pty Ltd,1563.44,1563.44,0,0,0
RDO Equipment,7946.59,7946.59,0,0,0
Reece Australia Pty Ltd,535.01,535.01,0,0,0
Rhodes Hydraulics,100.7,100.7,0,0,0
"Ringrose, Codie",90.95,0,90.95,0,0
Sonic HealthPlus Pty Ltd,280.5,280.5,0,0,0
Spitwater,3601.52,3601.52,0,0,0
STG Parts Pty Ltd,1318.9,1318.9,0,0,0
Terreco Resources Pty Ltd,1760,1760,0,0,0
Tranzmile Pty Ltd,407.68,407.68,0,0,0
Tyreright Rocklea,3677,3677,0,0,0
Uniform Solutions,4098.05,4098.05,0,0,0
United Forklfit and Access Solutions,1218.8,1218.8,0,0,0
Urban Utilities (BPAY),5623.3,5623.3,0,0,0
Verizon Connect,3086.6,3086.6,0,0,0
Wholesale Sands & Recycling,275.88,275.88,0,0,0